date,city,cid,industry,platform,number,amount
2016/10/1,台北二,A,紅蘿蔔,北部,46.8,171217
2016/10/1,台北一,B,紅蘿蔔,北部,45.5,540938
2016/10/1,新北市,C,紅蘿蔔,北部,46.8,23100
2016/10/1,宜蘭市,D,紅蘿蔔,北部,39.1,32160
2016/10/1,桃　農,E,紅蘿蔔,北部,47.8,14830
2016/10/1,台中市,F,紅蘿蔔,中部,40,97044
2016/10/1,豐原區,G,紅蘿蔔,中部,35.7,27430
2016/10/1,溪湖鎮,H,紅蘿蔔,中部,36.6,14825
2016/10/1,西螺鎮,I,紅蘿蔔,南部,53.6,305880
2016/10/1,高雄市,J,紅蘿蔔,南部,50.2,147225
2016/10/1,鳳山區,K,紅蘿蔔,南部,35.2,29463
2016/10/1,屏東市,L,紅蘿蔔,南部,45.6,40297
2016/10/1,台東市,M,紅蘿蔔,東部,31.9,13733
2016/9/1,台北二,A,紅蘿蔔,北部,32.4,239887
2016/9/1,台北一,B,紅蘿蔔,北部,28.5,751193
2016/9/1,新北市,C,紅蘿蔔,北部,30,32860
2016/9/1,宜蘭市,D,紅蘿蔔,北部,22.1,31480
2016/9/1,桃　農,E,紅蘿蔔,北部,31.5,17776
2016/9/1,台中市,F,紅蘿蔔,中部,25.3,127600
2016/9/1,豐原區,G,紅蘿蔔,中部,22.6,35141
2016/9/1,溪湖鎮,H,紅蘿蔔,中部,24.9,55688
2016/9/1,西螺鎮,I,紅蘿蔔,南部,38.8,541800
2016/9/1,高雄市,J,紅蘿蔔,南部,34.6,248287
2016/9/1,鳳山區,K,紅蘿蔔,南部,23.4,75200
2016/9/1,屏東市,L,紅蘿蔔,南部,26,96110
2016/9/1,台東市,M,紅蘿蔔,東部,17.5,19719
2016/8/1,台北二,A,紅蘿蔔,北部,28.1,248710
2016/8/1,台北一,B,紅蘿蔔,北部,25.6,788318
2016/8/1,新北市,C,紅蘿蔔,北部,24.6,45790
2016/8/1,宜蘭市,D,紅蘿蔔,北部,23.8,38550
2016/8/1,桃　農,E,紅蘿蔔,北部,30.4,20910
2016/8/1,台中市,F,紅蘿蔔,中部,22.3,138104
2016/8/1,豐原區,G,紅蘿蔔,中部,20.3,26690
2016/8/1,溪湖鎮,H,紅蘿蔔,中部,21.5,66328
2016/8/1,西螺鎮,I,紅蘿蔔,南部,35,550610
2016/8/1,高雄市,J,紅蘿蔔,南部,31.7,259825
2016/8/1,鳳山區,K,紅蘿蔔,南部,17.5,91884
2016/8/1,屏東市,L,紅蘿蔔,南部,20.8,116141
2016/8/1,台東市,M,紅蘿蔔,東部,14.1,19153
2016/7/1,台北二,A,紅蘿蔔,北部,26.4,246807
2016/7/1,台北一,B,紅蘿蔔,北部,24.2,784886
2016/7/1,新北市,C,紅蘿蔔,北部,23.5,48264
2016/7/1,宜蘭市,D,紅蘿蔔,北部,19,41560
2016/7/1,桃　農,E,紅蘿蔔,北部,25.1,25770
2016/7/1,台中市,F,紅蘿蔔,中部,19.7,118110
2016/7/1,豐原區,G,紅蘿蔔,中部,18.4,45890
2016/7/1,溪湖鎮,H,紅蘿蔔,中部,15.7,62070
2016/7/1,西螺鎮,I,紅蘿蔔,南部,30.7,585750
2016/7/1,高雄市,J,紅蘿蔔,南部,29.3,283367
